member, url, robots.txt
aerodynamicadvisory, https://aerodynamicadvisory.com, True
geaviation, https://www.geaviation.com, True
liebherr, https://www.liebherr.com/en/usa/products/gear-cutting-technology-automation/gear-cutting-technology-automation.html, False
gsengineering, https://www.gsengineering.com, False
aero, https://aero.engin.umich.edu, False
eaton, https://www.eaton.com/us/en-us.html, True
prattwhitney, https://prattwhitney.com, True
winemantech, https://www.winemantech.com, True
miat, https://miat.edu/campuses/canton-michigan, False
rcoeng, https://www.rcoeng.com/aerospace.html, False
woodward, https://www.woodward.com/home, False
calumetelectronics, https://www.calumetelectronics.com, False
cignys, https://www.cignys.com, True
metrowelding, http://metrowelding.com, False
irtelemetrics, http://irtelemetrics.com, True
aat3d, https://aat3d.com, True
thermoanalytics, https://www.thermoanalytics.com, True
dornerworks, https://dornerworks.com, True
rockwellautomation, https://www.rockwellautomation.com/site-selection.html, False
cmfpro, http://www.cmfpro.com, False
classicturning, https://classicturning.com, True
greatlakesmetalfinishing, https://www.greatlakesmetalfinishing.com, True
gvsu, https://www.gvsu.edu/pcec, False
blackanvilcs, https://www.blackanvilcs.com, True
jacksonflex, https://www.jacksonflex.com, True
kellyservices, https://www.kellyservices.us/us, False
metroboltmi, https://www.metroboltmi.com, True
orbitform, https://www.orbitform.com, True
bakerengineeringmfg, http://www.bakerengineeringmfg.com, False
classicprecision, https://www.classicprecision.net, True
creativecompositesinc, https://www.creativecompositesinc.com, True
welkerproducts, http://www.welkerproducts.com/index.php, True
mbsairport, http://www.mbsairport.org, True
warbirdsofglory, https://www.warbirdsofglory.org, True
flylansing, http://www.flylansing.com, True
testek, https://www.testek.com, True
5me, https://5me.com, True
makino, https://www.makino.com, True
singlesourcetech, https://www.singlesourcetech.com, True
northernwings, https://northernwings.com, True
skilledmfg, https://www.skilledmfg.com, True
ph, https://ph.parker.com/us/en/aerospace-systems-and-technologies, False
valianttms, https://www.valianttms.com, True
lmproducts, https://www.lmproducts.us, False
xray-lab, https://xray-lab.com/us, True
lansemfg, https://lansemfg.com, True
migso-pcubed, https://www.migso-pcubed.com, True
mapal, https://www.mapal.com/en, True
surfdyn, http://surfdyn.com, True
satplating, https://www.satplating.com, False
precisionmold, http://www.precisionmold.com/index.html, False
airliquidsystems, https://www.airliquidsystems.com, False
exportcorporation, https://exportcorporation.com, False
aaronsfabrication, http://www.aaronsfabrication.net, False
prosper-tech, https://prosper-tech.net, True
appliedmfg, https://www.appliedmfg.com, True
unitedcncmachining, http://www.unitedcncmachining.com, True
agile-c, https://www.agile-c.com, False
rapitasystems, https://www.rapitasystems.com, True
morrell-group, https://morrell-group.com, True
aviotechltd, https://www.aviotechltd.com, False
lexalbex, https://www.lexalbex.com, True
bradhart, http://www.bradhart.com, True
jrautomation, https://www.jrautomation.com/industries/aerospace-and-defense, False
dewyseng, https://dewyseng.com, True
goengineer, https://www.goengineer.com, False
palm-industries, http://www.palm-industries.com, True
inora, https://www.inora.com, True
pjfinc, https://www.pjfinc.com, True
bosch-aviation, http://www.bosch-aviation.com, True
uhy-us, https://uhy-us.com, True
excomconsulting, https://excomconsulting.wixsite.com/excomconsulting, False
novastar, https://www.novastar.net, False
innovatedmachining, http://innovatedmachining.com, False
andersonglobal, http://andersonglobal.com, False
andersonglobal, http://andersonglobal.com, False
leecontracting, https://www.leecontracting.com, False
flt-us, https://flt-us.com, False
actionwood360, https://www.actionwood360.com, True
ifmetalworks, http://ifmetalworks.com, True
wolvgroup, https://wolvgroup.com, True
surclean, https://www.surclean.com, True
premierthermal, https://www.premierthermal.com, False
trexadvisory, https://trexadvisory.com, True
toolingtechgroup, https://www.toolingtechgroup.com, False
plasancarbon, http://plasancarbon.com, True
relinc, https://www.relinc.com, True
alro, https://www.alro.com, True
absolutesuccession, https://absolutesuccession.com, True
hrutech, https://hrutech.com, True
millercanfield, https://www.millercanfield.com, True
incaltech, https://incaltech.com, True
eckhartusa, https://www.eckhartusa.com, True
grobgroup, https://www.grobgroup.com/en, False
dependablegage, http://dependablegage.net, False
openmind-tech, https://www.openmind-tech.com/en-us.html, False
unitedtechnicalinc, https://www.unitedtechnicalinc.com, False
r2space, https://www.r2space.com, False
53, https://www.53.com/content/fifth-third/en.html, True
gta, https://gta.jobs, True
rockfordconstruction, https://rockfordconstruction.com, True
ecoclean-group, https://ecoclean-group.us, True
dynamicmachine, http://www.dynamicmachine.com, False
vistool, https://vistool.com/about-us, False
skinternational, http://skinternational.us/skiweb, False
idealtech, https://idealtech.us, True
copatool, https://copatool.com, True
weldaloy, https://weldaloy.com, True
umbragroup, https://www.umbragroup.com/en, False
sisautomotive, https://www.sisautomotive.com, True
ingersollusa, http://www.ingersollusa.com/icms/Home/HomePage.htm, False
mtu, https://www.mtu.edu, True
depusa, https://www.depusa.com, False
marposs, https://www.marposs.com/eng, False
hitachibusinessfinance, https://www.hitachibusinessfinance.com, True
arrayofengineers, https://www.arrayofengineers.com, True
the-center, https://www.the-center.org, False
higmi, https://www.higmi.com, True
ppiaerospace, https://ppiaerospace.com, True
lasalleinc, https://www.lasalleinc.com/index.php, True
